type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,07:00,500101029,500101153,3,,
dispatch,07:00,500101034,500101101,1,,
dispatch,07:00,500101115,500101218,2,,
dispatch,07:00,500101124,500101152,3,,
dispatch,07:00,500101127,500101033,1,,
dispatch,07:00,500101142,500101010,1,,
dispatch,07:00,500101144,500101150,1,,
dispatch,07:00,500101148,500101037,2,,
dispatch,07:00,500101148,500101101,3,,
dispatch,07:00,500101173,500101102,2,,
dispatch,07:00,500101234,500101101,3,,
dispatch,07:00,500101254,500101001,2,,
dispatch,07:00,500101254,500101136,1,,
dispatch,07:30,500101005,500101152,2,,
dispatch,07:30,500101026,500101167,1,,
dispatch,07:30,500101115,500101128,1,,
dispatch,07:30,500101115,500101240,4,,
dispatch,07:30,500101124,500101218,2,,
dispatch,07:30,500101124,500101251,2,,
dispatch,07:30,500101144,500101206,1,,
dispatch,07:30,500101145,500101187,1,,
dispatch,07:30,500101175,500101098,2,,
dispatch,07:30,500101202,500101186,2,,
dispatch,07:30,500101205,500101167,1,,
dispatch,07:30,500101210,500101206,3,,
dispatch,07:30,500101238,500101154,2,,
dispatch,07:30,500101254,500101246,2,,
dispatch,07:30,500101256,500101113,4,,
dispatch,09:00,500101026,500101136,1,,
dispatch,09:00,500101035,500101186,1,,
dispatch,09:00,500101039,500101193,2,,
dispatch,09:00,500101131,500101103,3,,
dispatch,09:00,500101138,500101005,2,,
dispatch,09:00,500101138,500101133,2,,
dispatch,09:00,500101142,500101234,1,,
dispatch,09:00,500101168,500101007,1,,
dispatch,09:00,500101173,500101217,3,,
dispatch,09:00,500101175,500101042,1,,
dispatch,09:00,500101191,500101042,1,,
dispatch,09:00,500101203,500101134,4,,
dispatch,09:00,500101203,500101193,3,,
dispatch,09:00,500101205,500101163,6,,
dispatch,09:00,500101210,500101101,4,,
dispatch,09:00,500101210,500101108,1,,
dispatch,09:00,500101210,500101152,5,,
dispatch,09:00,500101210,500101176,3,,
dispatch,09:00,500101228,500101128,2,,
dispatch,09:00,500101256,500101193,2,,
dispatch,09:00,500101258,500101253,2,,
dispatch,09:30,500101015,500101140,1,,
dispatch,09:30,500101015,500101204,2,,
dispatch,09:30,500101019,500101039,1,,
dispatch,09:30,500101019,500101192,1,,
dispatch,09:30,500101019,500101213,2,,
dispatch,09:30,500101023,500101025,1,,
dispatch,09:30,500101023,500101115,3,,
dispatch,09:30,500101024,500101173,1,,
dispatch,09:30,500101038,500101214,2,,
dispatch,09:30,500101040,500101191,1,,
dispatch,09:30,500101094,500101189,1,,
dispatch,09:30,500101107,500101115,1,,
dispatch,09:30,500101109,500101173,1,,
dispatch,09:30,500101118,500101173,1,,
dispatch,09:30,500101118,500101202,3,,
dispatch,09:30,500101129,500101025,3,,
dispatch,09:30,500101148,500101189,1,,
dispatch,09:30,500101170,500101245,2,,
dispatch,09:30,500101175,500101204,1,,
dispatch,09:30,500101179,500101202,2,,
dispatch,09:30,500101199,500101214,2,,
dispatch,09:30,500101208,500101191,2,,
dispatch,09:30,500101219,500101203,1,,
dispatch,09:30,500101224,500101222,1,,
dispatch,09:30,500101231,500101039,3,,
dispatch,09:30,500101239,500101135,2,,
dispatch,09:30,500101248,500101039,1,,
dispatch,09:30,500101248,500101127,2,,
dispatch,09:30,500101252,500101039,2,,
dispatch,09:30,500101257,500101115,2,,
dispatch,10:00,500101003,500101247,7,,
dispatch,10:00,500101030,500101025,2,,
dispatch,10:00,500101030,500101039,5,,
dispatch,10:00,500101091,500101206,1,,
